Contact Person,Kontaktperson
Email Contact Person,E-post Kontaktperson
B2B City,Poststed
CHOOSE ONE OF THE INVOICE OPTIONS,VELG ET AV FAKTURA ALTERNATIVENE
Option,Alternativ
Invoice in PDF to this email address,Faktur på PDF til denne epostadressen
We want invoices like EHF,Vi ønsker faktura som EHF
The recipient of the bill must be registered with his org number at,Mottakeren av regningen må være registrert med sitt org nummer hos
adresseregisteret for EHF,the address register for EHF
We want an invoice by email to this email address,Vi ønsker faktura på epost til denne e-post adressen
Yes we want invoice at EHF,Ja vi ønsker faktura på EHF
Yes we want newsletters with information on promotions and news.,Ja vi ønsker nyhetsbrev med informasjon om kampanjer og nyheter.
Copy billing address,Kopier faktura adresse
